x,y,z
4.349999999999999700e-03,8.250000000000000666e-01,-1.237030617551107547e-03
4.349999999999999700e-03,8.250000000000000666e-01,6.185153087755544243e-04
4.349999999999999700e-03,8.250000000000000666e-01,2.474061235102215529e-03
4.199999999999999740e-03,9.000000000000000222e-01,-2.985935973399225264e-03
4.199999999999999740e-03,9.000000000000000222e-01,-1.194374389359689889e-03
4.199999999999999740e-03,9.000000000000000222e-01,5.971871946798455949e-04
4.199999999999999740e-03,9.000000000000000222e-01,2.388748778719380211e-03
4.049999999999999781e-03,9.750000000000000888e-01,-2.879295402920681226e-03
4.049999999999999781e-03,9.750000000000000888e-01,-1.151718161168272230e-03
4.049999999999999781e-03,9.750000000000000888e-01,5.758590805841367656e-04
4.049999999999999781e-03,9.750000000000000888e-01,2.303436322336544894e-03
1.200000000000000025e-02,0.000000000000000000e+00,-5.619324508588740760e-03
1.200000000000000025e-02,0.000000000000000000e+00,-2.247729803435495610e-03
1.200000000000000025e-02,0.000000000000000000e+00,1.123864901717749106e-03
1.200000000000000025e-02,0.000000000000000000e+00,4.495459606870992955e-03
1.170000000000000033e-02,7.500000000000001110e-02,-5.478841395874021851e-03
1.170000000000000033e-02,7.500000000000001110e-02,-2.191536558349608307e-03
1.170000000000000033e-02,7.500000000000001110e-02,1.095768279174805238e-03
1.170000000000000033e-02,7.500000000000001110e-02,4.383073116699217481e-03
1.140000000000000041e-02,1.500000000000000222e-01,-5.338358283159303809e-03
1.140000000000000041e-02,1.500000000000000222e-01,-2.135343313263721003e-03
1.140000000000000041e-02,1.500000000000000222e-01,1.067671656631861803e-03
1.140000000000000041e-02,1.500000000000000222e-01,4.270686626527442874e-03
1.110000000000000049e-02,2.250000000000000056e-01,-5.197875170444585767e-03
1.110000000000000049e-02,2.250000000000000056e-01,-2.079150068177833700e-03
1.110000000000000049e-02,2.250000000000000056e-01,1.039575034088918151e-03
1.110000000000000049e-02,2.250000000000000056e-01,4.158300136355669134e-03
1.080000000000000057e-02,3.000000000000000444e-01,-5.057392057729866858e-03
1.080000000000000057e-02,3.000000000000000444e-01,-2.022956823091946396e-03
1.080000000000000057e-02,3.000000000000000444e-01,1.011478411545974282e-03
1.080000000000000057e-02,3.000000000000000444e-01,4.045913646183893660e-03
1.050000000000000065e-02,3.750000000000000000e-01,-4.916908945015147948e-03
1.050000000000000065e-02,3.750000000000000000e-01,-1.966763578006058659e-03
1.050000000000000065e-02,3.750000000000000000e-01,9.833817890030304137e-04
1.050000000000000065e-02,3.750000000000000000e-01,3.933527156012118185e-03
1.020000000000000073e-02,4.500000000000000111e-01,-4.776425832300429906e-03
1.020000000000000073e-02,4.500000000000000111e-01,-1.910570332920171572e-03
1.020000000000000073e-02,4.500000000000000111e-01,9.552851664600868703e-04
1.020000000000000073e-02,4.500000000000000111e-01,3.821140665840344012e-03
9.900000000000000813e-03,5.250000000000000222e-01,-4.635942719585711864e-03
9.900000000000000813e-03,5.250000000000000222e-01,-1.854377087834284269e-03
9.900000000000000813e-03,5.250000000000000222e-01,9.271885439171432186e-04
9.900000000000000813e-03,5.250000000000000222e-01,3.708754175668569839e-03
9.600000000000000894e-03,6.000000000000000888e-01,-4.495459606870992955e-03
9.600000000000000894e-03,6.000000000000000888e-01,-1.798183842748396748e-03
9.600000000000000894e-03,6.000000000000000888e-01,8.990919213741993500e-04
9.600000000000000894e-03,6.000000000000000888e-01,3.596367685496794364e-03
9.300000000000000974e-03,6.750000000000000444e-01,-4.354976494156274046e-03
9.300000000000000974e-03,6.750000000000000444e-01,-1.741990597662509228e-03
9.300000000000000974e-03,6.750000000000000444e-01,8.709952988312555898e-04
9.300000000000000974e-03,6.750000000000000444e-01,3.483981195325019323e-03
8.999999999999999320e-03,7.500000000000000000e-01,-4.214493381441556004e-03
8.999999999999999320e-03,7.500000000000000000e-01,-1.685797352576621925e-03
8.999999999999999320e-03,7.500000000000000000e-01,8.428986762883119380e-04
8.999999999999999320e-03,7.500000000000000000e-01,3.371594705153245150e-03
8.699999999999999400e-03,8.250000000000000666e-01,-4.074010268726837095e-03
8.699999999999999400e-03,8.250000000000000666e-01,-1.629604107490734404e-03
8.699999999999999400e-03,8.250000000000000666e-01,8.148020537453681779e-04
